Stage 1  Points,Stage 1  Rider,Stage 1  Team,Stage 2 Points,Stage 2 Rider,Stage 2 Team,Stage 3 Points,Stage 3 Rider,Stage 3 Team,Stage 4 Points,Stage 4 Rider,Stage 4 Team,Stage 5 Points,Stage 5 Rider,Stage 5 Team,Stage 6 Points,Stage 6 Rider,Stage 6 Team,Stage 7 Points,Stage 7 Rider,Stage 7 Team,Stage 8 Points,Stage 8 Rider,Stage 8 Team,Stage 9 Points,Stage 9 Rider,Stage 9 Team,Stage 10 Points,Stage 10 Rider,Stage 10 Team,Stage 11 Points,Stage 11 Rider,Stage 11 Team,Stage 12 Points,Stage 12 Rider,Stage 12 Team,Stage 13 Points,Stage 13 Rider,Stage 13 Team,Stage 14 Points,Stage 14 Rider,Stage 14 Team,Stage 15 Points,Stage 15 Rider,Stage 15 Team,Stage 16 Points,Stage 16 Rider,Stage 16 Team,Stage 17 Points,Stage 17 Rider,Stage 17 Team,Stage 18 Points,Stage 18 Rider,Stage 18 Team,Stage 19 Points,Stage 19 Rider,Stage 19 Team,Stage 20 Points,Stage 20 Rider,Stage 20 Team,Stage 21 Points,Stage 21 Rider,Stage 21 Team
,,,,,,6,Tiesj Benoot,Team Visma | Lease a Bike,,,,,,,2,Romain Grégoire,Groupama - FDJ,2,Paul Penhoët,Groupama - FDJ,4,Maximilian Schachmann,Soudal Quick-Step,4,Jasper Stuyven,Lidl - Trek,2,Oliver Naesen,Decathlon AG2R La Mondiale Team,4,Luke Durbridge,Team Jayco AlUla,2,Maximilian Schachmann,Soudal Quick-Step,,,,2,Matis Louvel,Israel - Premier Tech,2,Michael Woods,Israel - Premier Tech,,,,,,,,,,,,,,,,,,
,,,,,,6,Victor Campenaerts,Team Visma | Lease a Bike,,,,,,,2,Valentin Madouas,Groupama - FDJ,2,Clément Russo,Groupama - FDJ,4,Bert Van Lerberghe,Soudal Quick-Step,4,Edward Theuns,Lidl - Trek,2,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,4,Dylan Groenewegen,Team Jayco AlUla,2,Bert Van Lerberghe,Soudal Quick-Step,,,,,,,2,Alberto Dainese,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,,
,,,,,,6,Sepp Kuss,Team Visma | Lease a Bike,,,,,,,2,Guillaume Martin,Groupama - FDJ,2,Quinn Simmons,Lidl - Trek,4,Ilan Van Wilder,Soudal Quick-Step,4,Cees Bol,XDS Astana Team,2,Callum Scotson,Decathlon AG2R La Mondiale Team,4,Luka Mezgec,Team Jayco AlUla,2,Ilan Van Wilder,Soudal Quick-Step,,,,,,,2,Marco Haller,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,,
,,,,,,6,Wout Van Aert,Team Visma | Lease a Bike,,,,,,,2,Quentin Pacher,Groupama - FDJ,2,Tobias Lund Andresen,Team Picnic PostNL,3,Georg Zimmermann,Intermarché - Wanty,3,Bryan Coquard,Cofidis,2,Bastien Tronchon,Decathlon AG2R La Mondiale Team,4,Luke Plapp,Team Jayco AlUla,2,Matteo Trentin,Tudor Pro Cycling Team,,,,,,,2,Marc Hirschi,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,,
,,,,,,6,Simon Yates,Team Visma | Lease a Bike,,,,,,,2,Paul Penhoët,Groupama - FDJ,2,Warren Barguil,Team Picnic PostNL,2,Silvan Dillier,Alpecin - Deceuninck,2,Amaury Capiot,Arkéa - B&B Hotels,2,Romain Grégoire,Groupama - FDJ,4,Elmar Reinders,Team Jayco AlUla,1,Emanuel Buchmann,Cofidis,,,,,,,2,Fabian Lienhard,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,,
,,,,,,4,Thibau Nys,Lidl - Trek,,,,,,,2,Clément Russo,Groupama - FDJ,2,Pavel Bittner,Team Picnic PostNL,2,Xandro Meurisse,Alpecin - Deceuninck,2,Raúl García Pierna,Arkéa - B&B Hotels,2,Pascal Eenkhoorn,Soudal Quick-Step,3,Mattias Skjelmose,Lidl - Trek,1,Tobias Foss,INEOS Grenadiers,,,,,,,2,Marius Mayrhofer,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,,
,,,,,,4,Quinn Simmons,Lidl - Trek,,,,,,,2,Laurenz Rex,Intermarché - Wanty,2,Sean Flynn,Team Picnic PostNL,2,Jonas Rickaert,Alpecin - Deceuninck,2,Mathis Le Berre,Arkéa - B&B Hotels,2,Maximilian Schachmann,Soudal Quick-Step,2,Silvan Dillier,Alpecin - Deceuninck,,,,,,,,,,2,Matteo Trentin,Tudor Pro Cycling Team,,,,,,,,,,,,,,,,,,
,,,,,,4,Toms Skujiņš,Lidl - Trek,,,,,,,2,Mattia Cattaneo,Soudal Quick-Step,2,Niklas Märkl,Team Picnic PostNL,2,Gianni Vermeersch,Alpecin - Deceuninck,2,Cristián Rodríguez,Arkéa - B&B Hotels,2,Bert Van Lerberghe,Soudal Quick-Step,2,Xandro Meurisse,Alpecin - Deceuninck,,,,,,,,,,1,Enric Mas,Movistar Team,,,,,,,,,,,,,,,,,,
,,,,,,4,Jasper Stuyven,Lidl - Trek,,,,,,,2,Pascal Eenkhoorn,Soudal Quick-Step,2,Tim Naberman,Team Picnic PostNL,2,Emiel Verstrynge,Alpecin - Deceuninck,2,Clément Venturini,Arkéa - B&B Hotels,2,Ilan Van Wilder,Soudal Quick-Step,2,Jonas Rickaert,Alpecin - Deceuninck,,,,,,,,,,1,Tobias Lund Andresen,Team Picnic PostNL,,,,,,,,,,,,,,,,,,
,,,,,,4,Edward Theuns,Lidl - Trek,,,,,,,2,Valentin Paret-Peintre,Soudal Quick-Step,2,Frank Van Den Broek,Team Picnic PostNL,2,Amaury Capiot,Arkéa - B&B Hotels,2,Lewis Askey,Groupama - FDJ,1,Emanuel Buchmann,Cofidis,2,Gianni Vermeersch,Alpecin - Deceuninck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,Jhonatan Narváez,UAE Team Emirates - XRG,,,,,,,2,Maximilian Schachmann,Soudal Quick-Step,1,Laurenz Rex,Intermarché - Wanty,2,Raúl García Pierna,Arkéa - B&B Hotels,2,Cyril Barthe,Groupama - FDJ,1,Anthony Turgis,Team TotalEnergies,2,Emiel Verstrynge,Alpecin - Deceuninck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,Nils Politt,UAE Team Emirates - XRG,,,,,,,2,Bert Van Lerberghe,Soudal Quick-Step,1,Eddie Dunbar,Team Jayco AlUla,2,Mathis Le Berre,Arkéa - B&B Hotels,2,Romain Grégoire,Groupama - FDJ,,,,2,Lewis Askey,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,Pavel Sivakov,UAE Team Emirates - XRG,,,,,,,2,Ilan Van Wilder,Soudal Quick-Step,,,,2,Cristián Rodríguez,Arkéa - B&B Hotels,2,Valentin Madouas,Groupama - FDJ,,,,2,Cyril Barthe,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,Marc Soler,UAE Team Emirates - XRG,,,,,,,2,Alberto Dainese,Tudor Pro Cycling Team,,,,2,Clément Venturini,Arkéa - B&B Hotels,2,Quentin Pacher,Groupama - FDJ,,,,2,Valentin Madouas,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,Adam Yates,UAE Team Emirates - XRG,,,,,,,2,Marco Haller,Tudor Pro Cycling Team,,,,2,Cyril Barthe,Groupama - FDJ,2,Clément Russo,Groupama - FDJ,,,,2,Paul Penhoët,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,4,Jenno Berckmoes,Lotto,,,,,,,2,Marc Hirschi,Tudor Pro Cycling Team,,,,2,Romain Grégoire,Groupama - FDJ,2,Jenno Berckmoes,Lotto,,,,2,Clément Russo,Groupama - FDJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Kamil Gradek,Bahrain - Victorious,,,,,,,2,Fabian Lienhard,Tudor Pro Cycling Team,,,,2,Valentin Madouas,Groupama - FDJ,2,Jarrad Drizners,Lotto,,,,2,Thymen Arensman,INEOS Grenadiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Jack Haig,Bahrain - Victorious,,,,,,,2,Marius Mayrhofer,Tudor Pro Cycling Team,,,,2,Quentin Pacher,Groupama - FDJ,2,Sébastien Grignard,Lotto,,,,2,Pascal Eenkhoorn,Soudal Quick-Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Lenny Martinez,Bahrain - Victorious,,,,,,,2,Matteo Trentin,Tudor Pro Cycling Team,,,,2,Paul Penhoët,Groupama - FDJ,2,Eduardo Sepúlveda,Lotto,,,,2,Valentin Paret-Peintre,Soudal Quick-Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Matej Mohorič,Bahrain - Victorious,,,,,,,1,Jack Haig,Bahrain - Victorious,,,,2,Clément Russo,Groupama - FDJ,2,Lennert Van Eetvelt,Lotto,,,,2,Maximilian Schachmann,Soudal Quick-Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Robert Stannard,Bahrain - Victorious,,,,,,,1,Bastien Tronchon,Decathlon AG2R La Mondiale Team,,,,2,Roel Van Sintmaartensdijk,Intermarché - Wanty,2,Brent Van Moer,Lotto,,,,2,Bert Van Lerberghe,Soudal Quick-Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Fred Wright,Bahrain - Victorious,,,,,,,,,,,,,1,Neilson Powless,EF Education - EasyPost,1,Emanuel Buchmann,Cofidis,,,,2,Ilan Van Wilder,Soudal Quick-Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Laurenz Rex,Intermarché - Wanty,,,,,,,,,,,,,1,Ben O'Connor,Team Jayco AlUla,1,Luke Plapp,Team Jayco AlUla,,,,1,Emanuel Buchmann,Cofidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,2,Alexandre Delettre,Team TotalEnergies,,,,,,,,,,,,,1,Michael Storer,Tudor Pro Cycling Team,1,Michael Storer,Tudor Pro Cycling Team,,,,1,Anthony Turgis,Team TotalEnergies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,Felix Gall,Decathlon AG2R La Mondiale Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,Andreas Leknessund,Uno-X Mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
