Stage 1  Points,Stage 1  Rider,Stage 1  Team,Stage 2 Points,Stage 2 Rider,Stage 2 Team,Stage 3 Points,Stage 3 Rider,Stage 3 Team,Stage 4 Points,Stage 4 Rider,Stage 4 Team,Stage 5 Points,Stage 5 Rider,Stage 5 Team,Stage 6 Points,Stage 6 Rider,Stage 6 Team,Stage 7 Points,Stage 7 Rider,Stage 7 Team,Stage 8 Points,Stage 8 Rider,Stage 8 Team,Stage 9 Points,Stage 9 Rider,Stage 9 Team,Stage 10 Points,Stage 10 Rider,Stage 10 Team,Stage 11 Points,Stage 11 Rider,Stage 11 Team,Stage 12 Points,Stage 12 Rider,Stage 12 Team,Stage 13 Points,Stage 13 Rider,Stage 13 Team,Stage 14 Points,Stage 14 Rider,Stage 14 Team,Stage 15 Points,Stage 15 Rider,Stage 15 Team,Stage 16 Points,Stage 16 Rider,Stage 16 Team,Stage 17 Points,Stage 17 Rider,Stage 17 Team,Stage 18 Points,Stage 18 Rider,Stage 18 Team,Stage 19 Points,Stage 19 Rider,Stage 19 Team,Stage 20 Points,Stage 20 Rider,Stage 20 Team,Stage 21 Points,Stage 21 Rider,Stage 21 Team
8,Marc Hirschi,Tudor Pro Cycling Team,8,Clément Russo,Groupama - FDJ,9,Simone Consonni,Lidl - Trek,8,Alexey Lutsenko,Israel - Premier Tech,,,,8,Sepp Kuss,Team Visma | Lease a Bike,4,Mattia Cattaneo,Soudal Quick-Step,12,Marc Soler,UAE Team Emirates - XRG,12,Matteo Trentin,Tudor Pro Cycling Team,10,Neilson Powless,EF Education - EasyPost,8,Guillaume Martin,Groupama - FDJ,6,Simone Velasco,XDS Astana Team,,,,8,Samuel Watson,INEOS Grenadiers,13,Tobias Halland Johannessen,Uno-X Mobility,,,,,,,,,,,,,,,,,,
8,Fabian Lienhard,Tudor Pro Cycling Team,8,Jonathan Milan,Lidl - Trek,8,Kasper Asgreen,EF Education - EasyPost,6,Tim Merlier,Soudal Quick-Step,,,,8,Wout Van Aert,Team Visma | Lease a Bike,4,Pascal Eenkhoorn,Soudal Quick-Step,12,Adam Yates,UAE Team Emirates - XRG,9,Tobias Halland Johannessen,Uno-X Mobility,10,Michael Valgren,EF Education - EasyPost,8,Enric Mas,Movistar Team,6,Anthony Turgis,Team TotalEnergies,,,,8,Anthony Turgis,Team TotalEnergies,12,Lenny Martinez,Bahrain - Victorious,,,,,,,,,,,,,,,,,,
8,Michael Storer,Tudor Pro Cycling Team,8,Edoardo Affini,Team Visma | Lease a Bike,8,Lewis Askey,Groupama - FDJ,6,Joseph Blackmore,Israel - Premier Tech,,,,8,Jhonatan Narváez,UAE Team Emirates - XRG,4,Tim Merlier,Soudal Quick-Step,12,Cees Bol,XDS Astana Team,8,Simone Consonni,Lidl - Trek,8,Enric Mas,Movistar Team,8,Ben O'Connor,Team Jayco AlUla,5,Laurence Pithie,Red Bull - BORA - hansgrohe,,,,6,Quinn Simmons,Lidl - Trek,12,Guillaume Martin,Groupama - FDJ,,,,,,,,,,,,,,,,,,
5,Jordi Meeus,Red Bull - BORA - hansgrohe,8,Tiesj Benoot,Team Visma | Lease a Bike,8,Cyril Barthe,Groupama - FDJ,4,Santiago Buitrago,Bahrain - Victorious,,,,8,Nils Politt,UAE Team Emirates - XRG,4,Valentin Paret-Peintre,Soudal Quick-Step,9,Tobias Halland Johannessen,Uno-X Mobility,8,Enric Mas,Movistar Team,8,Iván Romeo,Movistar Team,8,Edoardo Affini,Team Visma | Lease a Bike,4,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,,,,6,Sergio Higuita,XDS Astana Team,12,Jonathan Milan,Lidl - Trek,,,,,,,,,,,,,,,,,,
4,Lewis Askey,Groupama - FDJ,8,Victor Campenaerts,Team Visma | Lease a Bike,8,Romain Grégoire,Groupama - FDJ,4,Lewis Askey,Groupama - FDJ,,,,8,Pavel Sivakov,UAE Team Emirates - XRG,4,Maximilian Schachmann,Soudal Quick-Step,8,Simone Consonni,Lidl - Trek,8,Danny Van Poppel,Red Bull - BORA - hansgrohe,8,Nils Politt,UAE Team Emirates - XRG,8,Tiesj Benoot,Team Visma | Lease a Bike,4,Biniam Girmay,Intermarché - Wanty,,,,5,Ewen Costiou,Arkéa - B&B Hotels,12,Andreas Leknessund,Uno-X Mobility,,,,,,,,,,,,,,,,,,
4,Cyril Barthe,Groupama - FDJ,8,Sepp Kuss,Team Visma | Lease a Bike,8,Valentin Madouas,Groupama - FDJ,4,Cyril Barthe,Groupama - FDJ,,,,8,Marc Soler,UAE Team Emirates - XRG,4,Bert Van Lerberghe,Soudal Quick-Step,8,Thibau Nys,Lidl - Trek,8,Edoardo Affini,Team Visma | Lease a Bike,8,Pavel Sivakov,UAE Team Emirates - XRG,8,Victor Campenaerts,Team Visma | Lease a Bike,4,Edward Theuns,Lidl - Trek,,,,5,Michael Storer,Tudor Pro Cycling Team,11,Ben Healy,EF Education - EasyPost,,,,,,,,,,,,,,,,,,
4,Romain Grégoire,Groupama - FDJ,8,Wout Van Aert,Team Visma | Lease a Bike,8,Quentin Pacher,Groupama - FDJ,4,Valentin Madouas,Groupama - FDJ,,,,8,Adam Yates,UAE Team Emirates - XRG,4,Ilan Van Wilder,Soudal Quick-Step,8,Toms Skujiņš,Lidl - Trek,8,Tiesj Benoot,Team Visma | Lease a Bike,8,Marc Soler,UAE Team Emirates - XRG,8,Sepp Kuss,Team Visma | Lease a Bike,4,Tim Merlier,Soudal Quick-Step,,,,4,Julian Alaphilippe,Tudor Pro Cycling Team,11,Thymen Arensman,INEOS Grenadiers,,,,,,,,,,,,,,,,,,
4,Valentin Madouas,Groupama - FDJ,8,Simon Yates,Team Visma | Lease a Bike,8,Mattia Cattaneo,Soudal Quick-Step,4,Quentin Pacher,Groupama - FDJ,,,,6,Jordan Jegat,Team TotalEnergies,4,Sergio Higuita,XDS Astana Team,8,Jasper Stuyven,Lidl - Trek,8,Victor Campenaerts,Team Visma | Lease a Bike,8,Adam Yates,UAE Team Emirates - XRG,8,Simon Yates,Team Visma | Lease a Bike,4,Michael Storer,Tudor Pro Cycling Team,,,,3,Cristián Rodríguez,Arkéa - B&B Hotels,9,Ben O'Connor,Team Jayco AlUla,,,,,,,,,,,,,,,,,,
4,Guillaume Martin,Groupama - FDJ,8,Jhonatan Narváez,UAE Team Emirates - XRG,8,Pascal Eenkhoorn,Soudal Quick-Step,4,Paul Penhoët,Groupama - FDJ,,,,6,Tobias Halland Johannessen,Uno-X Mobility,4,Anthony Turgis,Team TotalEnergies,8,Edward Theuns,Lidl - Trek,8,Sepp Kuss,Team Visma | Lease a Bike,6,Biniam Girmay,Intermarché - Wanty,8,Nils Politt,UAE Team Emirates - XRG,2,Amaury Capiot,Arkéa - B&B Hotels,,,,3,Matteo Trentin,Tudor Pro Cycling Team,8,Jake Stewart,Israel - Premier Tech,,,,,,,,,,,,,,,,,,
4,Quentin Pacher,Groupama - FDJ,8,Nils Politt,UAE Team Emirates - XRG,8,Remco Evenepoel,Soudal Quick-Step,4,Clément Russo,Groupama - FDJ,,,,5,Aurélien Paret-Peintre,Decathlon AG2R La Mondiale Team,3,Guillaume Martin,Groupama - FDJ,8,Enric Mas,Movistar Team,8,Wout Van Aert,Team Visma | Lease a Bike,6,Mattias Skjelmose,Lidl - Trek,8,Pavel Sivakov,UAE Team Emirates - XRG,2,Ewen Costiou,Arkéa - B&B Hotels,,,,2,Bruno Armirail,Decathlon AG2R La Mondiale Team,4,Biniam Girmay,Intermarché - Wanty,,,,,,,,,,,,,,,,,,
