Stage 1 ,Stage 2,Stage 3,Stage 4,Stage 5,Stage 6,Stage 7,Stage 8,Stage 9,Stage 10,Stage 11,Stage 12,Stage 13,Stage 14,Stage 15,Stage 16,Stage 17,Stage 18,Stage 19,Stage 20,Stage 21
Mike Teunissen,Enric Mas,Tobias Lund Andresen,Wout Van Aert,Pablo Castrillo,Matteo Jorgenson,Jordan Jegat,Danny Van Poppel,Mathieu Van Der Poel,Matteo Jorgenson,Kaden Groves,Einer Rubio,Kévin Vauquelin,Lenny Martinez,Tadej Pogačar,,,,,,
XDS Astana Team,Movistar Team,Team Picnic PostNL,Team Visma | Lease a Bike,Movistar Team,Team Visma | Lease a Bike,Team TotalEnergies,Red Bull - BORA - hansgrohe,Alpecin - Deceuninck,Team Visma | Lease a Bike,Alpecin - Deceuninck,Movistar Team,Arkéa - B&B Hotels,Bahrain - Victorious,UAE Team Emirates - XRG,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
49 points,50 points,40 points,49 points,59 points,62 points,51 points,50 points,50 points,63 points,42 points,52 points,62 points,71 points,50 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Iván García Cortina,Alexandre Delettre,Bastien Tronchon,Aurélien Paret-Peintre,Jonas Vingegaard,Remco Evenepoel,Mattias Skjelmose,Tadej Pogačar,Alexis Renard,Florian Lipowitz,Jordan Jegat,Matteo Jorgenson,Remco Evenepoel,Carlos Rodríguez,Harold Tejada,,,,,,
Movistar Team,Team TotalEnergies,Decathlon AG2R La Mondiale Team,Decathlon AG2R La Mondiale Team,Team Visma | Lease a Bike,Soudal Quick-Step,Lidl - Trek,UAE Team Emirates - XRG,Cofidis,Red Bull - BORA - hansgrohe,Team TotalEnergies,Team Visma | Lease a Bike,Soudal Quick-Step,INEOS Grenadiers,XDS Astana Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
43 points,47 points,36 points,44 points,53 points,48 points,43 points,40 points,50 points,57 points,40 points,42 points,44 points,47 points,47 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Niklas Märkl,Jasper Philipsen,Mathieu Van Der Poel,Jhonatan Narváez,Primož Roglič,Kévin Vauquelin,Florian Lipowitz,Phil Bauhaus,Tadej Pogačar,Remco Evenepoel,Alberto Dainese,Raúl García Pierna,Carlos Rodríguez,Adam Yates,Pascal Eenkhoorn,,,,,,
Team Picnic PostNL,Alpecin - Deceuninck,Alpecin - Deceuninck,UAE Team Emirates - XRG,Red Bull - BORA - hansgrohe,Arkéa - B&B Hotels,Red Bull - BORA - hansgrohe,Bahrain - Victorious,UAE Team Emirates - XRG,Soudal Quick-Step,Tudor Pro Cycling Team,Arkéa - B&B Hotels,INEOS Grenadiers,UAE Team Emirates - XRG,Soudal Quick-Step,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
37 points,41 points,35 points,40 points,31 points,45 points,40 points,37 points,40 points,44 points,39 points,42 points,43 points,45 points,43 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Harry Sweeny,João Almeida,Dylan Groenewegen,Jonas Abrahamsen,Mathieu Van Der Poel,Oscar Onley,Iván García Cortina,Lewis Askey,Pascal Ackermann,Oscar Onley,Tadej Pogačar,Guillaume Martin,Tobias Halland Johannessen,Jordan Jegat,Jonas Vingegaard,,,,,,
EF Education - EasyPost,UAE Team Emirates - XRG,Team Jayco AlUla,Uno-X Mobility,Alpecin - Deceuninck,Team Picnic PostNL,Movistar Team,Groupama - FDJ,Israel - Premier Tech,Team Picnic PostNL,UAE Team Emirates - XRG,Groupama - FDJ,Uno-X Mobility,Team TotalEnergies,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
32 points,40 points,34 points,36 points,30 points,37 points,37 points,34 points,37 points,42 points,38 points,37 points,26 points,40 points,40 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Benjamin Thomas,Yevgeniy Fedorov,Tadej Pogačar,Lenny Martinez,Tobias Foss,Florian Lipowitz,Romain Grégoire,Jonas Vingegaard,Arnaud Démare,Harry Sweeny,Ben Healy,Jhonatan Narváez,Enric Mas,Harold Tejada,Neilson Powless,,,,,,
Cofidis,XDS Astana Team,UAE Team Emirates - XRG,Bahrain - Victorious,INEOS Grenadiers,Red Bull - BORA - hansgrohe,Groupama - FDJ,Team Visma | Lease a Bike,Arkéa - B&B Hotels,EF Education - EasyPost,EF Education - EasyPost,UAE Team Emirates - XRG,Movistar Team,XDS Astana Team,EF Education - EasyPost,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
31 points,39 points,30 points,36 points,25 points,36 points,36 points,30 points,36 points,36 points,34 points,30 points,25 points,39 points,40 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Krists Neilands,Santiago Buitrago,Jonas Vingegaard,Kasper Asgreen,Nelson Oliveira,Jonathan Milan,Marco Haller,Bastien Tronchon,Jonas Rickaert,Victor Campenaerts,Romain Grégoire,Sergio Higuita,Harry Sweeny,Jhonatan Narváez,Thibau Nys,,,,,,
Israel - Premier Tech,Bahrain - Victorious,Team Visma | Lease a Bike,EF Education - EasyPost,Movistar Team,Lidl - Trek,Tudor Pro Cycling Team,Decathlon AG2R La Mondiale Team,Alpecin - Deceuninck,Team Visma | Lease a Bike,Groupama - FDJ,XDS Astana Team,EF Education - EasyPost,UAE Team Emirates - XRG,Lidl - Trek,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
25 points,37 points,30 points,35 points,20 points,23 points,32 points,30 points,36 points,36 points,26 points,24 points,16 points,32 points,30 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Kévin Vauquelin,Andreas Leknessund,Jake Stewart,Alex Baudin,Nils Politt,Santiago Buitrago,Alex Baudin,Anthony Turgis,Anthony Turgis,Tobias Halland Johannessen,Jonas Vingegaard,Ben O'Connor,Julian Alaphilippe,Jonathan Milan,Iván Romeo,,,,,,
Arkéa - B&B Hotels,Uno-X Mobility,Israel - Premier Tech,EF Education - EasyPost,UAE Team Emirates - XRG,Bahrain - Victorious,EF Education - EasyPost,Team TotalEnergies,Team TotalEnergies,Uno-X Mobility,Team Visma | Lease a Bike,Team Jayco AlUla,Tudor Pro Cycling Team,Lidl - Trek,Movistar Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
22 points,36 points,26 points,35 points,19 points,23 points,32 points,27 points,34 points,32 points,25 points,23 points,15 points,30 points,27 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jonathan Milan,Matteo Jorgenson,Anthony Turgis,Tobias Halland Johannessen,Mattias Skjelmose,Felix Gall,Primož Roglič,Matteo Jorgenson,Remco Evenepoel,Primož Roglič,Simone Velasco,Bruno Armirail,Cristián Rodríguez,Simon Yates,Jhonatan Narváez,,,,,,
Lidl - Trek,Team Visma | Lease a Bike,Team TotalEnergies,Uno-X Mobility,Lidl - Trek,Decathlon AG2R La Mondiale Team,Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,Soudal Quick-Step,Red Bull - BORA - hansgrohe,XDS Astana Team,Decathlon AG2R La Mondiale Team,Arkéa - B&B Hotels,Team Visma | Lease a Bike,UAE Team Emirates - XRG,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
20 points,32 points,25 points,32 points,16 points,22 points,32 points,26 points,30 points,32 points,24 points,22 points,12 points,29 points,26 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Damien Touzé,Brent Van Moer,Damien Touzé,Tiesj Benoot,Raúl García Pierna,João Almeida,Tim Wellens,Remco Evenepoel,Jonas Vingegaard,Michael Woods,Matteo Jorgenson,Mathieu Van Der Poel,Ben Healy,Ben O'Connor,Mathieu Van Der Poel,,,,,,
Cofidis,Lotto,Cofidis,Team Visma | Lease a Bike,Arkéa - B&B Hotels,UAE Team Emirates - XRG,UAE Team Emirates - XRG,Soudal Quick-Step,Team Visma | Lease a Bike,Israel - Premier Tech,Team Visma | Lease a Bike,Alpecin - Deceuninck,EF Education - EasyPost,Team Jayco AlUla,Alpecin - Deceuninck,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
20 points,30 points,24 points,31 points,10 points,20 points,31 points,25 points,25 points,31 points,22 points,21 points,12 points,27 points,26 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Mattéo Vercher,Marc Hirschi,Paul Penhoët,Enric Mas,Oscar Onley,Enric Mas,Carlos Rodríguez,Samuel Watson,Dylan Groenewegen,Alex Baudin,Quentin Pacher,Michael Woods,Jonathan Milan,Einer Rubio,Matej Mohorič,,,,,,
Team TotalEnergies,Tudor Pro Cycling Team,Groupama - FDJ,Movistar Team,Team Picnic PostNL,Movistar Team,INEOS Grenadiers,INEOS Grenadiers,Team Jayco AlUla,EF Education - EasyPost,Groupama - FDJ,Israel - Premier Tech,Lidl - Trek,Movistar Team,Bahrain - Victorious,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18 points,29 points,22 points,28 points,9 points,20 points,30 points,24 points,24 points,28 points,22 points,20 points,8 points,27 points,25 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Silvan Dillier,Guillaume Martin,Matteo Jorgenson,Thomas Gachignard,Aurélien Paret-Peintre,Tim Wellens,Ewen Costiou,Tim Wellens,Matteo Jorgenson,Felix Gall,Remco Evenepoel,Laurenz Rex,Bruno Armirail,Michael Woods,Santiago Buitrago,,,,,,
Alpecin - Deceuninck,Groupama - FDJ,Team Visma | Lease a Bike,Team TotalEnergies,Decathlon AG2R La Mondiale Team,UAE Team Emirates - XRG,Arkéa - B&B Hotels,UAE Team Emirates - XRG,Team Visma | Lease a Bike,Decathlon AG2R La Mondiale Team,Soudal Quick-Step,Intermarché - Wanty,Decathlon AG2R La Mondiale Team,Israel - Premier Tech,Bahrain - Victorious,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18 points,28 points,20 points,22 points,8 points,19 points,28 points,22 points,24 points,25 points,19 points,20 points,8 points,25 points,25 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Kaden Groves,Bruno Armirail,Kévin Vauquelin,Tim Wellens,Jonathan Milan,Primož Roglič,Geraint Thomas,Mathieu Van Der Poel,Tim Wellens,Carlos Rodríguez,Tobias Halland Johannessen,Nils Politt,Jordan Jegat,Sepp Kuss,Florian Lipowitz,,,,,,
Alpecin - Deceuninck,Decathlon AG2R La Mondiale Team,Arkéa - B&B Hotels,UAE Team Emirates - XRG,Lidl - Trek,Red Bull - BORA - hansgrohe,INEOS Grenadiers,Alpecin - Deceuninck,UAE Team Emirates - XRG,INEOS Grenadiers,Uno-X Mobility,UAE Team Emirates - XRG,Team TotalEnergies,Team Visma | Lease a Bike,Red Bull - BORA - hansgrohe,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18 points,19 points,20 points,20 points,8 points,16 points,20 points,22 points,22 points,25 points,17 points,20 points,7 points,22 points,25 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Xandro Meurisse,Remco Evenepoel,Yevgeniy Fedorov,Primož Roglič,Enric Mas,Biniam Girmay,Mathieu Van Der Poel,Kévin Vauquelin,Kévin Vauquelin,Mauro Schmid,Jhonatan Narváez,Pavel Sivakov,Guillaume Martin,Mathieu Van Der Poel,Alexey Lutsenko,,,,,,
Alpecin - Deceuninck,Soudal Quick-Step,XDS Astana Team,Red Bull - BORA - hansgrohe,Movistar Team,Intermarché - Wanty,Alpecin - Deceuninck,Arkéa - B&B Hotels,Arkéa - B&B Hotels,Team Jayco AlUla,UAE Team Emirates - XRG,UAE Team Emirates - XRG,Groupama - FDJ,Alpecin - Deceuninck,Israel - Premier Tech,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18 points,18 points,17 points,18 points,8 points,13 points,20 points,22 points,20 points,23 points,16 points,20 points,6 points,22 points,22 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Jonas Rickaert,Silvan Dillier,Tim Wellens,Jonathan Milan,Tim Wellens,Mattias Skjelmose,João Almeida,Biniam Girmay,Alberto Dainese,Quinn Simmons,Louis Barré,Marc Soler,Mathieu Van Der Poel,Aleksandr Vlasov,Matteo Jorgenson,,,,,,
Alpecin - Deceuninck,Alpecin - Deceuninck,UAE Team Emirates - XRG,Lidl - Trek,UAE Team Emirates - XRG,Lidl - Trek,UAE Team Emirates - XRG,Intermarché - Wanty,Tudor Pro Cycling Team,Lidl - Trek,Intermarché - Wanty,UAE Team Emirates - XRG,Alpecin - Deceuninck,Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18 points,18 points,15 points,14 points,7 points,12 points,20 points,21 points,16 points,22 points,15 points,20 points,5 points,16 points,22 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Mathieu Van Der Poel,Kaden Groves,Guillaume Martin,Nils Politt,Santiago Buitrago,Kaden Groves,Nils Politt,Tim Merlier,Bastien Tronchon,Valentin Paret-Peintre,Kévin Vauquelin,Tim Wellens,Ben O'Connor,Biniam Girmay,Michael Storer,,,,,,
Alpecin - Deceuninck,Alpecin - Deceuninck,Groupama - FDJ,UAE Team Emirates - XRG,Bahrain - Victorious,Alpecin - Deceuninck,UAE Team Emirates - XRG,Soudal Quick-Step,Decathlon AG2R La Mondiale Team,Soudal Quick-Step,Arkéa - B&B Hotels,UAE Team Emirates - XRG,Team Jayco AlUla,Intermarché - Wanty,Tudor Pro Cycling Team,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18 points,18 points,15 points,14 points,6 points,9 points,20 points,20 points,16 points,20 points,14 points,20 points,4 points,16 points,20 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gianni Vermeersch,Xandro Meurisse,Enric Mas,Pavel Sivakov,Biniam Girmay,Anthony Turgis,Pavel Sivakov,Dylan Groenewegen,Ben Healy,Raúl García Pierna,Oscar Onley,Adam Yates,Santiago Buitrago,Valentin Paret-Peintre,Carlos Rodríguez,,,,,,
Alpecin - Deceuninck,Alpecin - Deceuninck,Movistar Team,UAE Team Emirates - XRG,Intermarché - Wanty,Team TotalEnergies,UAE Team Emirates - XRG,Team Jayco AlUla,EF Education - EasyPost,Arkéa - B&B Hotels,Team Picnic PostNL,UAE Team Emirates - XRG,Bahrain - Victorious,Soudal Quick-Step,INEOS Grenadiers,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
18 points,18 points,14 points,14 points,6 points,8 points,20 points,19 points,15 points,20 points,13 points,16 points,4 points,16 points,20 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Emiel Verstrynge,Jonas Rickaert,Joseph Blackmore,Marc Soler,Tobias Halland Johannessen,Silvan Dillier,Marc Soler,Mattias Skjelmose,Mattias Skjelmose,Quentin Pacher,Florian Lipowitz,Edoardo Affini,Biniam Girmay,Nils Politt,Quinn Simmons,,,,,,
Alpecin - Deceuninck,Alpecin - Deceuninck,Israel - Premier Tech,UAE Team Emirates - XRG,Uno-X Mobility,Alpecin - Deceuninck,UAE Team Emirates - XRG,Lidl - Trek,Lidl - Trek,Groupama - FDJ,Red Bull - BORA - hansgrohe,Team Visma | Lease a Bike,Intermarché - Wanty,UAE Team Emirates - XRG,Lidl - Trek,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
16 points,18 points,13 points,14 points,5 points,8 points,20 points,16 points,14 points,20 points,12 points,16 points,4 points,16 points,20 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Bryan Coquard,Gianni Vermeersch,Tobias Halland Johannessen,Adam Yates,Carlos Rodríguez,Xandro Meurisse,Adam Yates,Ben Healy,Oscar Onley,Pablo Castrillo,Lenny Martinez,Tiesj Benoot,Jhonatan Narváez,Pavel Sivakov,Sepp Kuss,,,,,,
Cofidis,Alpecin - Deceuninck,Uno-X Mobility,UAE Team Emirates - XRG,INEOS Grenadiers,Alpecin - Deceuninck,UAE Team Emirates - XRG,EF Education - EasyPost,Team Picnic PostNL,Movistar Team,Bahrain - Victorious,Team Visma | Lease a Bike,UAE Team Emirates - XRG,UAE Team Emirates - XRG,Team Visma | Lease a Bike,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
15 points,18 points,12 points,13 points,4 points,8 points,18 points,15 points,14 points,20 points,12 points,16 points,4 points,16 points,20 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
Tadej Pogačar,Emiel Verstrynge,Clément Russo,Biniam Girmay,Lenny Martinez,Jonas Rickaert,Cristián Rodríguez,Jhonatan Narváez,Jhonatan Narváez,Luke Plapp,Jonathan Milan,Victor Campenaerts,Michael Woods,Marc Soler,Nils Politt,,,,,,
UAE Team Emirates - XRG,Alpecin - Deceuninck,Groupama - FDJ,Intermarché - Wanty,Bahrain - Victorious,Alpecin - Deceuninck,Arkéa - B&B Hotels,UAE Team Emirates - XRG,UAE Team Emirates - XRG,Team Jayco AlUla,Lidl - Trek,Team Visma | Lease a Bike,Israel - Premier Tech,UAE Team Emirates - XRG,UAE Team Emirates - XRG,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
13 points,18 points,12 points,12 points,4 points,8 points,16 points,14 points,13 points,18 points,12 points,16 points,2 points,16 points,20 points,,,,,,
,,,,,,,,,,,,,,,,,,,,
